"Add As Favourite Seller","Add As Favourite Seller"
"Successfully Saved in your favourite Seller list","Successfully Saved in your favourite Seller list"
"Already added to your favourite Seller list","Already added to your favourite Seller list"
"Please login first to follow","Please login first to follow"
"Seller Name","Seller Name"
"Seller Collection","Seller Collection"
"My Favourite Sellers","My Favourite Sellers"
"search by seller name","search by seller name"
"Submit","Submit"
"Delete Sellers","Delete Sellers"
"Action","Action"
"Are you sure you want to delete these seller ?","Are you sure you want to delete these seller ?"
"No Checkbox is checked","No Checkbox is checked"
"Are you sure you want to delete this seller ?","Are you sure you want to delete this seller ?"
"Successfully favourite Seller removed","Successfully favourite Seller removed"
"Successfully favourite Sellers removed","Successfully favourite Sellers removed"
"Delete Customers","Delete Customers"
"Customer Name","Customer Name"
"Liked Date","Liked Date"
"No Follower Available","No Follower Available"
"No Favourite Seller Available","No Favourite Seller Available"
"Are you sure you want to delete these customer ?","Are you sure you want to delete these customer ?"
"Are you sure you want to delete this customer ?","Are you sure you want to delete this customer ?"
"Successfully follower removed","Successfully follower removed"
"Successfully followers removed","Successfully followers removed"
"search by customer name","search by customer name"
"Send Email to Followers","Send Email to Followers"
"Send Email to all Followers","Send Email to all Followers"
"Message","Message"
"Subject","Subject"
"Mail Sent","Mail Sent"




